2004-04-01	1180
2004-04-02	1368
2004-04-03	1104
2004-04-04	1662
2004-04-05	979
2004-04-06	1422
2004-04-07	1729
2004-04-08	1154
2004-04-09	1018
2004-04-10	981
2004-04-11	1677
2004-04-12	1407
2004-04-13	1210
2004-04-14	1110
2004-04-15	1055
2004-04-16	1072
2004-04-17	1198
2004-04-18	1448
2004-04-19	957
2004-04-20	1483
2004-04-21	1041
2004-04-22	1056
2004-04-23	1669
2004-04-24	1357
2004-04-25	1489
2004-04-26	987
2004-04-27	1723
2004-04-28	1384
2004-04-29	1105
2004-04-30	1543
2004-05-01	1099
2004-05-02	1034
2004-05-03	1038
2004-05-04	912
2004-05-05	1132
2004-05-06	1061
2004-05-07	1128
2004-05-08	1001
2004-05-09	937
2004-05-10	838
2004-05-11	1139
2004-05-12	1175
2004-05-13	888
2004-05-14	971
2004-05-15	1132
2004-05-16	1139
2004-05-17	1090
2004-05-18	967
2004-05-19	1147
2004-05-20	1101
2004-05-21	871
2004-05-22	852
2004-05-23	974
2004-05-24	1040
2004-05-25	1181
2004-05-26	870
2004-05-27	1101
2004-05-28	916
2004-05-29	849
2004-05-30	887
2004-05-31	804
2004-06-01	994
2004-06-02	1216
2004-06-03	1525
2004-06-04	1628
2004-06-05	1212
2004-06-06	1075
2004-06-07	1083
2004-06-08	1113
2004-06-09	1777
2004-06-10	1532
2004-06-11	1457
2004-06-12	1403
2004-06-13	1504
2004-06-14	1323
2004-06-15	1625
2004-06-16	1639
2004-06-17	1352
2004-06-18	1300
2004-06-19	965
2004-06-20	1483
2004-06-21	1162
2004-06-22	1221
2004-06-23	1070
2004-06-24	1221
2004-06-25	1361
2004-06-26	1321
2004-06-27	1432
2004-06-28	1687
2004-06-29	1506
2004-06-30	1538
