2004-04-01	923
2004-04-02	984
2004-04-03	928
2004-04-04	928
2004-04-05	891
2004-04-06	829
2004-04-07	975
2004-04-08	1091
2004-04-09	1000
2004-04-10	1117
2004-04-11	1192
2004-04-12	1024
2004-04-13	807
2004-04-14	826
2004-04-15	1145
2004-04-16	1018
2004-04-17	1132
2004-04-18	1087
2004-04-19	1052
2004-04-20	862
2004-04-21	961
2004-04-22	1006
2004-04-23	906
2004-04-24	985
2004-04-25	898
2004-04-26	1191
2004-04-27	802
2004-04-28	836
2004-04-29	1107
2004-04-30	1003
2004-05-01	1126
2004-05-02	1098
2004-05-03	1316
2004-05-04	964
2004-05-05	1209
2004-05-06	1304
2004-05-07	1733
2004-05-08	1704
2004-05-09	1438
2004-05-10	1680
2004-05-11	1515
2004-05-12	1677
2004-05-13	1388
2004-05-14	1302
2004-05-15	1448
2004-05-16	1728
2004-05-17	978
2004-05-18	1504
2004-05-19	1676
2004-05-20	1191
2004-05-21	1644
2004-05-22	1360
2004-05-23	1240
2004-05-24	1288
2004-05-25	1118
2004-05-26	963
2004-05-27	1581
2004-05-28	1441
2004-05-29	1079
2004-05-30	1496
2004-05-31	1037
2004-06-01	1070
2004-06-02	920
2004-06-03	1196
2004-06-04	1092
2004-06-05	963
2004-06-06	1001
2004-06-07	933
2004-06-08	1041
2004-06-09	923
2004-06-10	857
2004-06-11	821
2004-06-12	1051
2004-06-13	849
2004-06-14	980
2004-06-15	1023
2004-06-16	965
2004-06-17	1125
2004-06-18	1162
2004-06-19	1029
2004-06-20	1157
2004-06-21	1112
2004-06-22	1008
2004-06-23	989
2004-06-24	1149
2004-06-25	1063
2004-06-26	822
2004-06-27	1179
2004-06-28	870
2004-06-29	1019
2004-06-30	989
